Sport: Soccer, League: New Zealand - National Womens League, Match: Canterbury United-vs-Eastern Suburbs Yellow AFC, Market: U 3.5, Old Odds: 2.33, New Odds: 2.07, Time: 2023-11-19 00:01:39
Sport: Soccer, League: New Zealand - National Womens League, Match: Canterbury United-vs-Eastern Suburbs Yellow AFC, Market: U 3.5, Old Odds: 2.32, New Odds: 2.07, Time: 2023-11-19 00:01:39
Sport: Soccer, League: Mexico - Liga Premier, Match: Racing FC Porto Palmeiras-vs-Aguacateros de Periban FC, Market: U 3.0, Old Odds: 1.684, New Odds: 1.469, Time: 2023-11-19 00:02:01
Sport: Soccer, League: Mexico - Liga Premier, Match: Racing FC Porto Palmeiras-vs-Aguacateros de Periban FC, Market: U 2.5, Old Odds: 2.15, New Odds: 1.892, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National Womens League, Match: Canterbury United-vs-Eastern Suburbs Yellow AFC, Market: U 4.0, Old Odds: 1.917, New Odds: 1.684, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National Womens League, Match: Canterbury United-vs-Eastern Suburbs Yellow AFC, Market: U 4.0, Old Odds: 1.909, New Odds: 1.684, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National Womens League, Match: Canterbury United-vs-Eastern Suburbs Yellow AFC, Market: U 3.5, Old Odds: 2.33, New Odds: 2.09, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National Womens League, Match: Wellington Phoenix Reserves-vs-Central Football, Market: H1 -0.5, Old Odds: 2.04, New Odds: 1.813, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National Womens League, Match: Wellington Phoenix Reserves-vs-Central Football, Market: H1 0.0, Old Odds: 1.591, New Odds: 1.396, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National Womens League, Match: Wellington Phoenix Reserves-vs-Central Football, Market: 1 0.0, Old Odds: 2.06, New Odds: 1.813, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National Womens League, Match: Western Springs-vs-Waterside Karori, Market: H2 1.0, Old Odds: 1.862, New Odds: 1.617, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National Womens League, Match: Western Springs-vs-Waterside Karori, Market: H2 0.5, Old Odds: 2.27, New Odds: 2.03, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National Womens League, Match: Western Springs-vs-Waterside Karori, Market: 2 0.0, Old Odds: 4.27, New Odds: 3.68, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National League, Match: Auckland City FC-vs-Christchurch United Fc, Market: H2 1.5, Old Odds: 1.84, New Odds: 1.632, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National League, Match: Auckland City FC-vs-Christchurch United Fc, Market: H2 1.5, Old Odds: 1.909, New Odds: 1.632, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National League, Match: Auckland City FC-vs-Christchurch United Fc, Market: H2 1.5, Old Odds: 1.917, New Odds: 1.632, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National League, Match: Auckland City FC-vs-Christchurch United Fc, Market: H2 1.0, Old Odds: 2.4, New Odds: 2.06, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National League, Match: Auckland City FC-vs-Christchurch United Fc, Market: H2 1.0, Old Odds: 2.51, New Odds: 2.06, Time: 2023-11-19 00:02:01
Sport: Soccer, League: New Zealand - National League, Match: Auckland City FC-vs-Christchurch United Fc, Market: U 3.5, Old Odds: 2.04, New Odds: 1.74, Time: 2023-11-19 00:02:01
Sport: Soccer, League: Mexico - Liga Premier, Match: Racing FC Porto Palmeiras-vs-Aguacateros de Periban FC, Market: U 3.0, Old Odds: 1.684, New Odds: 1.495, Time: 2023-11-19 00:02:23
Sport: Soccer, League: Mexico - Liga Premier, Match: Racing FC Porto Palmeiras-vs-Aguacateros de Periban FC, Market: U 2.5, Old Odds: 2.15, New Odds: 1.925, Time: 2023-11-19 00:02:23
Sport: Soccer, League: New Zealand - National League, Match: Auckland City FC-vs-Christchurch United Fc, Market: H2 1.5, Old Odds: 1.84, New Odds: 1.649, Time: 2023-11-19 00:02:23
Sport: Soccer, League: New Zealand - National League, Match: Auckland City FC-vs-Christchurch United Fc, Market: H2 1.5, Old Odds: 1.909, New Odds: 1.649, Time: 2023-11-19 00:02:23
Sport: Soccer, League: New Zealand - National League, Match: Auckland City FC-vs-Christchurch United Fc, Market: H2 1.5, Old Odds: 1.917, New Odds: 1.649, Time: 2023-11-19 00:02:23
Sport: Soccer, League: New Zealand - National League, Match: Auckland City FC-vs-Christchurch United Fc, Market: H2 1.0, Old Odds: 2.4, New Odds: 2.09, Time: 2023-11-19 00:02:23
